keyTime,keyCompany,openValueStock,closeValueStock,highValueStock,lowValueStock,quantityStock
9664,112,11.47,11.12,11.61,11.1,20883077.0
9665,112,11.15,11.18,11.32,11.08,11753129.0
9666,112,11.22,11.13,11.26,10.89,17665443.0
9667,112,11.13,11.24,11.37,11.1,14649934.0
9668,112,11.3,11.19,11.31,11.13,14953541.0
9660,113,19.31,19.3,19.47,19.0,50531120.0
9661,113,19.3,19.73,19.82,19.19,64709181.0
9664,113,19.75,19.51,20.0,19.48,43288540.0
9665,113,19.6,19.86,19.98,19.36,73034101.0
9666,113,19.89,19.86,20.07,19.62,65237467.0
9667,113,19.92,19.84,20.17,19.76,53506844.0
9668,113,19.92,19.72,19.97,19.67,47049371.0
9660,134,56.61,56.71,57.2,55.51,46578809.0
9661,134,56.71,57.0,57.5,56.16,66322630.0
9664,134,57.67,56.48,57.84,56.13,50153546.0
9665,134,56.74,56.44,56.74,55.65,46770869.0
9666,134,56.44,58.02,58.13,55.81,127503555.0
9667,134,58.03,56.71,58.5,56.62,106331724.0
9668,134,57.31,56.68,58.05,56.0,103908534.0
9660,133,47.1,47.72,47.72,45.97,60617905.0
9661,133,47.13,49.07,49.15,46.83,72130979.0
9664,133,49.14,48.66,49.14,48.39,69345974.0
9665,133,48.53,49.75,50.2,48.2,88243550.0
9666,133,50.0,50.63,50.82,49.34,117644761.0
9667,133,50.63,50.64,51.74,49.93,84109019.0
9668,133,50.8,50.6,51.56,50.47,267190012.0
9660,286,9.96,9.83,10.24,9.74,5697916.0
9661,286,9.7,10.1,10.4,9.7,5986013.0
9664,286,10.1,10.31,10.92,10.1,5961134.0
9665,286,10.35,10.9,11.21,10.11,6717150.0
9666,286,11.0,11.25,11.72,10.99,21883469.0
9667,286,11.47,11.2,12.45,11.2,49460377.0
9668,286,11.2,11.99,12.1,11.19,12867400.0
9660,398,43.22,43.08,43.22,43.0,215.6
9661,398,43.5,43.44,43.52,43.08,1130.53
9664,398,43.96,44.45,44.49,43.96,5069.22
9665,398,44.58,44.51,44.58,44.21,2583.11
9666,398,51.83,44.01,51.83,44.01,11622.35
9667,398,44.77,45.13,45.18,44.68,54642.5
9668,398,45.78,45.06,45.78,44.8,15553.12
9660,135,21.3,21.67,21.74,20.85,144357894.0
9661,135,21.52,22.5,22.65,21.4,179730049.0
9664,135,22.52,22.13,22.77,22.13,189219728.0
9665,135,22.18,22.64,22.64,21.72,172570797.0
9666,135,22.63,22.68,22.69,22.19,176525198.0
9667,135,22.7,23.02,23.17,22.41,170575520.0
9668,135,23.01,22.9,23.2,22.71,101202363.0
9660,582,23.5,23.05,23.5,23.0,23126.0
9661,582,22.65,23.01,23.5,22.65,34748.0
9664,582,23.01,23.42,23.58,23.01,46796.0
9665,582,23.39,23.01,23.4,23.01,85386.0
9666,582,23.01,23.25,23.77,23.01,23260.0
9667,582,23.24,22.91,23.4,22.91,71651.0
9668,582,23.0,23.64,23.64,22.98,55779.0
9660,583,7.22,7.06,7.3,7.06,367061.0
9661,583,7.06,7.38,7.4,7.0,452573.0
9664,583,7.4,7.32,7.66,7.25,650130.0
9665,583,7.39,7.38,7.5,7.15,743390.0
9666,583,7.44,7.41,7.5,7.28,715488.0
9667,583,7.38,7.3,7.4,7.25,571077.0
9668,583,7.33,7.38,7.38,7.28,388074.0
9660,39,12.64,12.55,12.81,12.07,23002993.0
9661,39,12.59,12.55,12.73,12.33,17907866.0
