keyTime,datetime,dayTime,dayWeekTime,dayWeekAbbrevTime,dayWeekCompleteTime,monthTime,monthAbbrevTime,monthCompleteTime,bimonthTime,quarterTime,semesterTime,yearTime
5174,2008-08-29,29,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,2008
5175,2008-08-30,30,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,2008
5176,2008-08-31,31,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,2008
5177,2008-09-01,1,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,2008
5178,2008-09-02,2,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,2008
5179,2008-09-03,3,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,2008
5180,2008-09-04,4,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,2008
5181,2008-09-05,5,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,2008
5182,2008-09-06,6,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,2008
5183,2008-09-07,7,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,2008
5184,2008-09-08,8,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,2008
5185,2008-09-09,9,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,2008
5186,2008-09-10,10,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,2008
5187,2008-09-11,11,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,2008
5188,2008-09-12,12,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,2008
5189,2008-09-13,13,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,2008
5190,2008-09-14,14,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,2008
5191,2008-09-15,15,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,2008
5192,2008-09-16,16,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,2008
5193,2008-09-17,17,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,2008
5194,2008-09-18,18,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,2008
5195,2008-09-19,19,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,2008
5196,2008-09-20,20,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,2008
5197,2008-09-21,21,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,2008
5198,2008-09-22,22,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,2008
5199,2008-09-23,23,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,2008
5200,2008-09-24,24,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,2008
5201,2008-09-25,25,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,2008
5202,2008-09-26,26,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,2008
5203,2008-09-27,27,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,2008
5204,2008-09-28,28,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,2008
5205,2008-09-29,29,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,2008
5206,2008-09-30,30,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,2008
5207,2008-10-01,1,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,2008
5208,2008-10-02,2,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,2008
5209,2008-10-03,3,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,2008
5210,2008-10-04,4,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,2008
5211,2008-10-05,5,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,2008
5212,2008-10-06,6,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,2008
5213,2008-10-07,7,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,2008
5214,2008-10-08,8,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,2008
5215,2008-10-09,9,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,2008
5216,2008-10-10,10,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,2008
5217,2008-10-11,11,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,2008
5218,2008-10-12,12,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,2008
5219,2008-10-13,13,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,2008
5220,2008-10-14,14,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,2008
5221,2008-10-15,15,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,2008
5222,2008-10-16,16,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,2008
5223,2008-10-17,17,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,2008
5224,2008-10-18,18,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,2008
5225,2008-10-19,19,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,2008
5226,2008-10-20,20,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,2008
5227,2008-10-21,21,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,2008
5228,2008-10-22,22,4,QUI,QUINTA,10,OUT,OUTUBRO,5,4,2,2008
5229,2008-10-23,23,5,SEX,SEXTA,10,OUT,OUTUBRO,5,4,2,2008
5230,2008-10-24,24,6,SAB,SABADO,10,OUT,OUTUBRO,5,4,2,2008
5231,2008-10-25,25,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,2008
5232,2008-10-26,26,1,SEG,SEGUNDA,10,OUT,OUTUBRO,5,4,2,2008
5233,2008-10-27,27,2,TER,TERCA,10,OUT,OUTUBRO,5,4,2,2008
5234,2008-10-28,28,3,QUA,QUARTA,10,OUT,OUTUBRO,5,4,2,2008
